img,idx_label,RGB.ROI_01.redDN,RGB.ROI_01.greenDN,RGB.ROI_01.blueDN,RGB.ROI_01.2G_RBi,RGB.ROI_01.pctR,RGB.ROI_01.pctG,RGB.ROI_01.pctB,RGB.ROI_01.nNDVI,RGB.ROI_01.totalRGB,RGB.ROI_01.AnyColor,RGB.ROI_02.redDN,RGB.ROI_02.greenDN,RGB.ROI_02.blueDN,RGB.ROI_02.2G_RBi,RGB.ROI_02.pctR,RGB.ROI_02.pctG,RGB.ROI_02.pctB,RGB.ROI_02.nNDVI,RGB.ROI_02.totalRGB,RGB.ROI_02.AnyColor,RGB.ROI_03.redDN,RGB.ROI_03.greenDN,RGB.ROI_03.blueDN,RGB.ROI_03.2G_RBi,RGB.ROI_03.pctR,RGB.ROI_03.pctG,RGB.ROI_03.pctB,RGB.ROI_03.nNDVI,RGB.ROI_03.totalRGB,RGB.ROI_03.AnyColor,RGB.ROI_04.redDN,RGB.ROI_04.greenDN,RGB.ROI_04.blueDN,RGB.ROI_04.2G_RBi,RGB.ROI_04.pctR,RGB.ROI_04.pctG,RGB.ROI_04.pctB,RGB.ROI_04.nNDVI,RGB.ROI_04.totalRGB,RGB.ROI_04.AnyColor,RGB.ROI_05.redDN,RGB.ROI_05.greenDN,RGB.ROI_05.blueDN,RGB.ROI_05.2G_RBi,RGB.ROI_05.pctR,RGB.ROI_05.pctG,RGB.ROI_05.pctB,RGB.ROI_05.nNDVI,RGB.ROI_05.totalRGB,RGB.ROI_05.AnyColor,RGB.ROI_06.redDN,RGB.ROI_06.greenDN,RGB.ROI_06.blueDN,RGB.ROI_06.2G_RBi,RGB.ROI_06.pctR,RGB.ROI_06.pctG,RGB.ROI_06.pctB,RGB.ROI_06.nNDVI,RGB.ROI_06.totalRGB,RGB.ROI_06.AnyColor,HSV.ROI_01.Hue,HSV.ROI_01.Saturation,HSV.ROI_01.Value,HSV.ROI_02.Hue,HSV.ROI_02.Saturation,HSV.ROI_02.Value,HSV.ROI_03.Hue,HSV.ROI_03.Saturation,HSV.ROI_03.Value,HSV.ROI_04.Hue,HSV.ROI_04.Saturation,HSV.ROI_04.Value,HSV.ROI_05.Hue,HSV.ROI_05.Saturation,HSV.ROI_05.Value,HSV.ROI_06.Hue,HSV.ROI_06.Saturation,HSV.ROI_06.Value,Lab.ROI_01.L*,Lab.ROI_01.a*,Lab.ROI_01.b*,Lab.ROI_01.test(L*a*)=a*(1+(L*)/2550),Lab.ROI_02.L*,Lab.ROI_02.a*,Lab.ROI_02.b*,Lab.ROI_02.test(L*a*)=a*(1+(L*)/2550),Lab.ROI_03.L*,Lab.ROI_03.a*,Lab.ROI_03.b*,Lab.ROI_03.test(L*a*)=a*(1+(L*)/2550),Lab.ROI_04.L*,Lab.ROI_04.a*,Lab.ROI_04.b*,Lab.ROI_04.test(L*a*)=a*(1+(L*)/2550),Lab.ROI_05.L*,Lab.ROI_05.a*,Lab.ROI_05.b*,Lab.ROI_05.test(L*a*)=a*(1+(L*)/2550),Lab.ROI_06.L*,Lab.ROI_06.a*,Lab.ROI_06.b*,Lab.ROI_06.test(L*a*)=a*(1+(L*)/2550)
cam_3_2010_0616_120005.jpg,10.167,89.652442,87.508794,52.799357,32.565789,0.389860,0.380538,0.229602,-0.012100,229.960592,-71.562523,92.256314,88.344758,54.391967,30.041234,0.392592,0.375946,0.231462,-0.021659,234.993039,-71.817137,96.796728,90.664223,57.906791,26.624928,0.394497,0.369503,0.236000,-0.032714,245.367742,-71.647370,102.204931,93.847869,62.439222,23.051585,0.395389,0.363059,0.241552,-0.042627,258.492023,-71.174357,107.388795,97.134976,66.658246,20.222912,0.396003,0.358191,0.245806,-0.050135,271.182016,-71.207279,114.495744,101.717405,72.470499,16.468567,0.396613,0.352349,0.251038,-0.059101,288.683647,-71.272152,0.158001,0.421324,0.355825,0.150517,0.418674,0.364307,0.142007,0.411764,0.381401,0.134128,0.400934,0.402200,0.127943,0.392833,0.422273,0.119807,0.381532,0.449827,93.534824,124.488824,148.479800,123.685008,94.888212,125.378087,148.286402,124.635073,97.895727,126.490977,147.881938,125.890553,101.796659,127.588223,147.372820,127.177772,105.675777,128.481002,147.051578,128.263128,111.046021,129.659394,146.625353,129.712581
cam_3_2010_0617_120005.jpg,10.168,90.213925,87.865242,51.681000,33.835559,0.392644,0.382422,0.224935,-0.013189,229.760166,-74.717166,93.025256,88.837065,53.523623,31.125251,0.395203,0.377410,0.227387,-0.023029,235.385944,-74.815075,97.635049,91.276072,57.181085,27.736011,0.396742,0.370902,0.232356,-0.033661,246.092206,-74.548951,103.125079,94.517590,61.776329,24.133772,0.397523,0.364343,0.238133,-0.043551,259.418998,-74.090010,108.360866,97.825556,66.048131,21.242115,0.398042,0.359343,0.242615,-0.051096,272.234553,-74.090159,115.608488,102.468306,71.953195,17.374929,0.398609,0.353302,0.248089,-0.060255,290.029989,-74.170404,0.157548,0.438052,0.358202,0.150146,0.433530,0.367460,0.142105,0.425126,0.384828,0.134421,0.413675,0.405911,0.128394,0.404848,0.426174,0.120308,0.392848,0.454253,93.925224,124.443199,149.320512,123.658729,95.442473,125.373134,149.073959,124.657400,98.560878,126.460213,148.646547,125.892922,102.524004,127.564125,148.139276,127.190138,106.428911,128.470929,147.803367,128.291015,111.875380,129.682688,147.369261,129.778063
cam_3_2010_0618_120005.jpg,10.169,91.638072,83.943634,55.986042,20.263154,0.395729,0.362501,0.241770,-0.043823,231.567748,-63.609623,94.460139,84.992464,57.804763,17.720027,0.398134,0.358229,0.243637,-0.052759,237.257366,-63.843076,99.068970,87.539932,61.407032,14.603862,0.399446,0.352961,0.247593,-0.061782,248.015934,-63.794837,104.476410,90.934075,65.884855,11.506885,0.399840,0.348013,0.252147,-0.069302,261.295341,-63.640776,109.631103,94.402886,70.037463,9.137206,0.400009,0.344446,0.255545,-0.074636,274.071452,-63.959063,116.707948,99.209945,75.748885,5.963058,0.400141,0.340148,0.259710,-0.081040,291.666777,-64.420123,0.131505,0.391018,0.359699,0.124190,0.391005,0.370637,0.116611,0.385616,0.388646,0.109840,0.376983,0.409818,0.104867,0.370487,0.430012,0.098217,0.361536,0.457740,91.398759,127.781733,145.563212,126.849616,93.014170,128.685131,145.375269,127.827945,96.249704,129.701587,145.033634,129.002201,100.332057,130.661683,144.649122,130.166299,104.355188,131.417928,144.442362,131.127015,109.904123,132.426970,144.172929,132.421990
cam_3_2010_0619_120005.jpg,10.170,90.001633,88.287188,54.563152,32.009592,0.386519,0.379156,0.234325,-0.009616,232.851973,-69.162518,92.681550,89.262815,56.319629,29.524451,0.388987,0.374638,0.236375,-0.018790,238.263995,-69.305108,97.262807,91.655942,60.020539,26.028538,0.390709,0.368186,0.241105,-0.029679,248.939288,-68.877672,102.720849,94.863464,64.603548,22.402530,0.391783,0.361815,0.246402,-0.039767,262.187861,-68.377217,107.895462,98.179510,68.812284,19.651274,0.392508,0.357163,0.250329,-0.047148,274.887256,-68.450403,115.040946,102.812501,74.673238,15.910818,0.393267,0.351464,0.255270,-0.056132,292.526685,-68.506971,0.159387,0.404453,0.357470,0.151804,0.401016,0.366237,0.142970,0.392924,0.383401,0.134651,0.382572,0.404340,0.128431,0.375136,0.424363,0.120058,0.364444,0.452041,94.295075,124.386881,147.826402,123.620808,95.780977,125.244962,147.609623,124.546585,98.860299,126.349304,147.132803,125.797345,102.787775,127.464085,146.613787,127.103575,106.681755,128.337039,146.310589,128.170038,112.095921,129.508337,145.888974,129.614784
cam_3_2010_0620_120004.jpg,10.171,79.102862,76.927740,46.784152,27.968467,0.390025,0.379301,0.230674,-0.013940,202.814754,-62.462298,87.133428,83.357930,52.254953,27.327479,0.391178,0.374228,0.234594,-0.022145,222.746311,-65.981451,94.180605,88.219436,57.881760,24.376507,0.391959,0.367150,0.240891,-0.032682,240.281802,-66.636520,101.096170,92.869941,63.664991,20.978721,0.392407,0.360476,0.247117,-0.042411,257.631102,-66.636128,107.229451,97.082788,68.643411,18.292714,0.392846,0.355672,0.251482,-0.049663,272.955650,-67.025415,115.373869,102.677309,75.310517,14.670231,0.393282,0.350002,0.256716,-0.058227,293.361696,-67.430144,0.157864,0.420632,0.314888,0.150679,0.410152,0.344535,0.141858,0.397348,0.371404,0.133507,0.383926,0.398038,0.127113,0.374680,0.421799,0.118653,0.362148,0.453387,82.248676,125.026211,146.236217,123.665567,89.566381,125.623092,146.815885,124.616451,95.280709,126.659087,146.569349,125.927976,100.741088,127.740553,146.147625,127.276734,105.593159,128.615981,145.898878,128.393710,112.026175,129.778759,145.541391,129.881879
cam_3_2010_0621_120005.jpg,10.172,89.778770,89.068958,56.412923,31.946223,0.381614,0.378597,0.239789,-0.003969,235.260650,-66.021881,92.338831,89.930546,57.958844,29.563418,0.384380,0.374355,0.241266,-0.013213,240.228222,-66.351689,96.746736,92.226758,61.400940,26.305840,0.386408,0.368355,0.245236,-0.023919,250.374435,-66.171614,102.062371,95.388602,65.871084,22.843748,0.387595,0.362251,0.250154,-0.033800,263.322057,-65.708805,107.112490,98.651828,70.045857,20.145308,0.388356,0.357680,0.253964,-0.041118,275.810175,-65.672603,114.015908,103.137153,75.740115,16.518284,0.389275,0.352132,0.258593,-0.050097,292.893176,-65.672830,0.163788,0.386972,0.358638,0.156101,0.384054,0.366335,0.147133,0.377563,0.382534,0.138738,0.367687,0.402684,0.132255,0.360108,0.422056,0.123583,0.349913,0.448596,94.930087,124.025715,147.046859,123.292752,96.280058,124.867262,146.887613,124.195430,99.225641,125.924966,146.495637,125.392903,103.074383,126.992661,146.002640,126.647758,106.892827,127.837453,145.680676,127.681683,112.125327,128.975477,145.258373,129.082973
cam_3_2010_0622_120005.jpg,10.173,86.571897,87.502540,53.950819,34.482364,0.379659,0.383741,0.236600,0.005346,228.025256,-66.172799,87.213646,86.620050,53.470650,32.555804,0.383687,0.381075,0.235238,-0.003415,227.304346,-66.892397,90.152934,87.695587,55.472063,29.766178,0.386391,0.375859,0.237750,-0.013817,233.320584,-66.904396,93.942715,89.740326,58.666264,26.871674,0.387634,0.370293,0.242073,-0.022878,242.349306,-66.350512,97.623473,91.976788,61.828149,24.501955,0.388275,0.365817,0.245908,-0.029782,251.428410,-65.943963,102.402799,94.838861,65.927548,21.347375,0.389114,0.360372,0.250514,-0.038349,263.169208,-65.386563,0.171507,0.396987,0.348870,0.164573,0.402547,0.348596,0.156297,0.399604,0.358531,0.148869,0.390817,0.372353,0.142938,0.382957,0.386140,0.134986,0.372808,0.404089,92.838426,123.219839,147.377410,122.390566,92.270889,123.953855,147.398753,123.092054,93.881430,124.887796,147.123816,124.098379,96.490735,125.776722,146.679908,125.110389,99.202576,126.499654,146.315601,125.964019,102.695886,127.463260,145.827343,127.098160
cam_3_2010_0623_120005.jpg,10.174,96.767702,95.743801,63.395517,31.324383,0.378136,0.374135,0.247729,-0.005319,255.907020,-65.720468,98.690459,96.125142,64.203498,29.356327,0.381016,0.371112,0.247872,-0.013168,259.019099,-66.408605,102.537307,97.853453,66.927281,26.242317,0.383578,0.366056,0.250366,-0.023374,267.318040,-66.536198,107.152409,100.328283,70.594839,22.909319,0.385336,0.360795,0.253869,-0.032890,278.075532,-66.291013,111.485427,102.947004,74.017362,20.391219,0.386499,0.356897,0.256604,-0.039819,288.449793,-66.397707,117.045789,106.304155,78.527253,17.035268,0.387726,0.352144,0.260130,-0.048093,301.877198,-66.295438,0.161859,0.359360,0.385441,0.155013,0.360692,0.390880,0.146329,0.358050,0.404954,0.138189,0.351912,0.422417,0.132102,0.347300,0.439034,0.124076,0.340306,0.460372,102.109744,124.190326,146.716344,123.806054,102.889052,124.922346,146.690392,124.573986,105.224061,125.961221,146.403694,125.725306,108.335302,127.009051,145.995382,126.926136,111.452266,127.815279,145.741046,127.888072,115.459167,128.864675,145.350632,129.140555
none,10.175, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
cam_3_2010_0625_120018.jpg,10.176,88.892034,88.210429,57.426773,30.102051,0.379023,0.376117,0.244860,-0.003849,234.529235,-62.248917,91.515767,89.342405,59.061301,28.107742,0.381444,0.372385,0.246171,-0.012017,239.919473,-62.735570,96.021119,91.887986,62.723436,25.031417,0.383115,0.366624,0.250261,-0.021995,250.632541,-62.462233,101.420595,95.211130,67.349832,21.651834,0.384196,0.360673,0.255131,-0.031579,263.981557,-61.932061,106.457745,98.549012,71.623720,19.016559,0.384837,0.356248,0.258915,-0.038578,276.630476,-61.759317,113.353894,103.160572,77.427027,15.540223,0.385634,0.350956,0.263410,-0.047079,293.941493,-61.660413,0.163606,0.367542,0.354428,0.156213,0.365254,0.362686,0.147362,0.358076,0.379361,0.138703,0.348169,0.399901,0.132074,0.340458,0.419271,0.123336,0.330350,0.445847,94.077255,124.216985,145.982534,123.441347,95.656549,124.949894,145.889336,124.247065,98.822403,125.934586,145.488041,125.382568,102.820636,126.969419,144.984009,126.611945,106.695421,127.783204,144.636979,127.617608,112.025090,128.862106,144.205520,128.964442
