img,idx_label,RGB.ROI_01.redDN,RGB.ROI_01.greenDN,RGB.ROI_01.blueDN,RGB.ROI_01.2G_RBi,RGB.ROI_01.pctR,RGB.ROI_01.pctG,RGB.ROI_01.pctB,RGB.ROI_01.nNDVI,RGB.ROI_01.totalRGB,RGB.ROI_01.AnyColor,RGB.ROI_02.redDN,RGB.ROI_02.greenDN,RGB.ROI_02.blueDN,RGB.ROI_02.2G_RBi,RGB.ROI_02.pctR,RGB.ROI_02.pctG,RGB.ROI_02.pctB,RGB.ROI_02.nNDVI,RGB.ROI_02.totalRGB,RGB.ROI_02.AnyColor,RGB.ROI_03.redDN,RGB.ROI_03.greenDN,RGB.ROI_03.blueDN,RGB.ROI_03.2G_RBi,RGB.ROI_03.pctR,RGB.ROI_03.pctG,RGB.ROI_03.pctB,RGB.ROI_03.nNDVI,RGB.ROI_03.totalRGB,RGB.ROI_03.AnyColor,RGB.ROI_04.redDN,RGB.ROI_04.greenDN,RGB.ROI_04.blueDN,RGB.ROI_04.2G_RBi,RGB.ROI_04.pctR,RGB.ROI_04.pctG,RGB.ROI_04.pctB,RGB.ROI_04.nNDVI,RGB.ROI_04.totalRGB,RGB.ROI_04.AnyColor,RGB.ROI_05.redDN,RGB.ROI_05.greenDN,RGB.ROI_05.blueDN,RGB.ROI_05.2G_RBi,RGB.ROI_05.pctR,RGB.ROI_05.pctG,RGB.ROI_05.pctB,RGB.ROI_05.nNDVI,RGB.ROI_05.totalRGB,RGB.ROI_05.AnyColor,RGB.ROI_06.redDN,RGB.ROI_06.greenDN,RGB.ROI_06.blueDN,RGB.ROI_06.2G_RBi,RGB.ROI_06.pctR,RGB.ROI_06.pctG,RGB.ROI_06.pctB,RGB.ROI_06.nNDVI,RGB.ROI_06.totalRGB,RGB.ROI_06.AnyColor,HSV.ROI_01.Hue,HSV.ROI_01.Saturation,HSV.ROI_01.Value,HSV.ROI_02.Hue,HSV.ROI_02.Saturation,HSV.ROI_02.Value,HSV.ROI_03.Hue,HSV.ROI_03.Saturation,HSV.ROI_03.Value,HSV.ROI_04.Hue,HSV.ROI_04.Saturation,HSV.ROI_04.Value,HSV.ROI_05.Hue,HSV.ROI_05.Saturation,HSV.ROI_05.Value,HSV.ROI_06.Hue,HSV.ROI_06.Saturation,HSV.ROI_06.Value,Lab.ROI_01.L*,Lab.ROI_01.a*,Lab.ROI_01.b*,Lab.ROI_01.test(L*a*)=a*(1+(L*)/2550),Lab.ROI_02.L*,Lab.ROI_02.a*,Lab.ROI_02.b*,Lab.ROI_02.test(L*a*)=a*(1+(L*)/2550),Lab.ROI_03.L*,Lab.ROI_03.a*,Lab.ROI_03.b*,Lab.ROI_03.test(L*a*)=a*(1+(L*)/2550),Lab.ROI_04.L*,Lab.ROI_04.a*,Lab.ROI_04.b*,Lab.ROI_04.test(L*a*)=a*(1+(L*)/2550),Lab.ROI_05.L*,Lab.ROI_05.a*,Lab.ROI_05.b*,Lab.ROI_05.test(L*a*)=a*(1+(L*)/2550),Lab.ROI_06.L*,Lab.ROI_06.a*,Lab.ROI_06.b*,Lab.ROI_06.test(L*a*)=a*(1+(L*)/2550)
cam_3_2010_0616_120005.jpg,10.167,89.651849,87.461693,52.774052,32.497484,0.389981,0.380454,0.229565,-0.012366,229.887595,-71.565438,92.256314,88.344758,54.391967,30.041234,0.392592,0.375946,0.231462,-0.021659,234.993039,-71.817137,96.796728,90.664223,57.906791,26.624928,0.394497,0.369503,0.236000,-0.032714,245.367742,-71.647370,102.204931,93.847869,62.439222,23.051585,0.395389,0.363059,0.241552,-0.042627,258.492023,-71.174357,107.388795,97.134976,66.658246,20.222912,0.396003,0.358191,0.245806,-0.050135,271.182016,-71.207279,114.495744,101.717405,72.470499,16.468567,0.396613,0.352349,0.251038,-0.059101,288.683647,-71.272152,0.157787,0.421530,0.355763,0.150517,0.418674,0.364307,0.142007,0.411764,0.381401,0.134128,0.400934,0.402200,0.127943,0.392833,0.422273,0.119807,0.381532,0.449827,93.495851,124.512108,148.475688,123.706239,94.888212,125.378087,148.286402,124.635073,97.895727,126.490977,147.881938,125.890553,101.796659,127.588223,147.372820,127.177772,105.675777,128.481002,147.051578,128.263128,111.046021,129.659394,146.625353,129.712581
cam_3_2010_0617_120005.jpg,10.168,90.227133,87.821697,51.657147,33.759114,0.392794,0.382322,0.224884,-0.013510,229.705978,-74.734536,93.025256,88.837065,53.523623,31.125251,0.395203,0.377410,0.227387,-0.023029,235.385944,-74.815075,97.635049,91.276072,57.181085,27.736011,0.396742,0.370902,0.232356,-0.033661,246.092206,-74.548951,103.125079,94.517590,61.776329,24.133772,0.397523,0.364343,0.238133,-0.043551,259.418998,-74.090010,108.360866,97.825556,66.048131,21.242115,0.398042,0.359343,0.242615,-0.051096,272.234553,-74.090159,115.608488,102.468306,71.953195,17.374929,0.398609,0.353302,0.248089,-0.060255,290.029989,-74.170404,0.157300,0.438387,0.358207,0.150146,0.433530,0.367460,0.142105,0.425126,0.384828,0.134421,0.413675,0.405911,0.128394,0.404848,0.426174,0.120308,0.392848,0.454253,93.893352,124.470499,149.319109,123.684302,95.442473,125.373134,149.073959,124.657400,98.560878,126.460213,148.646547,125.892922,102.524004,127.564125,148.139276,127.190138,106.428911,128.470929,147.803367,128.291015,111.875380,129.682688,147.369261,129.778063
cam_3_2010_0618_120005.jpg,10.169,91.651039,83.905327,55.978361,20.181254,0.395841,0.362388,0.241771,-0.044121,231.534727,-63.599644,94.460139,84.992464,57.804763,17.720027,0.398134,0.358229,0.243637,-0.052759,237.257366,-63.843076,99.068970,87.539932,61.407032,14.603862,0.399446,0.352961,0.247593,-0.061782,248.015934,-63.794837,104.476410,90.934075,65.884855,11.506885,0.399840,0.348013,0.252147,-0.069302,261.295341,-63.640776,109.631103,94.402886,70.037463,9.137206,0.400009,0.344446,0.255545,-0.074636,274.071452,-63.959063,116.707948,99.209945,75.748885,5.963058,0.400141,0.340148,0.259710,-0.081040,291.666777,-64.420123,0.131264,0.391263,0.359756,0.124190,0.391005,0.370637,0.116611,0.385616,0.388646,0.109840,0.376983,0.409818,0.104867,0.370487,0.430012,0.098217,0.361536,0.457740,91.372161,127.809614,145.555628,126.875960,93.014170,128.685131,145.375269,127.827945,96.249704,129.701587,145.033634,129.002201,100.332057,130.661683,144.649122,130.166299,104.355188,131.417928,144.442362,131.127015,109.904123,132.426970,144.172929,132.421990
cam_3_2010_0619_120005.jpg,10.170,90.008963,88.242168,54.546206,31.929168,0.386641,0.379051,0.234308,-0.009912,232.797337,-69.158720,92.681550,89.262815,56.319629,29.524451,0.388987,0.374638,0.236375,-0.018790,238.263995,-69.305108,97.262807,91.655942,60.020539,26.028538,0.390709,0.368186,0.241105,-0.029679,248.939288,-68.877672,102.720849,94.863464,64.603548,22.402530,0.391783,0.361815,0.246402,-0.039767,262.187861,-68.377217,107.895462,98.179510,68.812284,19.651274,0.392508,0.357163,0.250329,-0.047148,274.887256,-68.450403,115.040946,102.812501,74.673238,15.910818,0.393267,0.351464,0.255270,-0.056132,292.526685,-68.506971,0.159124,0.404662,0.357450,0.151804,0.401016,0.366237,0.142970,0.392924,0.383401,0.134651,0.382572,0.404340,0.128431,0.375136,0.424363,0.120058,0.364444,0.452041,94.260735,124.413177,147.818831,123.645266,95.780977,125.244962,147.609623,124.546585,98.860299,126.349304,147.132803,125.797345,102.787775,127.464085,146.613787,127.103575,106.681755,128.337039,146.310589,128.170038,112.095921,129.508337,145.888974,129.614784
cam_3_2010_0620_120004.jpg,10.171,79.532271,77.307823,47.034666,28.048709,0.390104,0.379193,0.230704,-0.014183,203.874761,-62.770762,87.133428,83.357930,52.254953,27.327479,0.391178,0.374228,0.234594,-0.022145,222.746311,-65.981451,94.180605,88.219436,57.881760,24.376507,0.391959,0.367150,0.240891,-0.032682,240.281802,-66.636520,101.096170,92.869941,63.664991,20.978721,0.392407,0.360476,0.247117,-0.042411,257.631102,-66.636128,107.229451,97.082788,68.643411,18.292714,0.392846,0.355672,0.251482,-0.049663,272.955650,-67.025415,115.373869,102.677309,75.310517,14.670231,0.393282,0.350002,0.256716,-0.058227,293.361696,-67.430144,0.157622,0.420647,0.316519,0.150679,0.410152,0.344535,0.141858,0.397348,0.371404,0.133507,0.383926,0.398038,0.127113,0.374680,0.421799,0.118653,0.362148,0.453387,82.671457,125.031546,146.305864,123.691573,89.566381,125.623092,146.815885,124.616451,95.280709,126.659087,146.569349,125.927976,100.741088,127.740553,146.147625,127.276734,105.593159,128.615981,145.898878,128.393710,112.026175,129.778759,145.541391,129.881879
cam_3_2010_0621_120005.jpg,10.172,89.773169,89.021712,56.379503,31.890752,0.381730,0.378535,0.239735,-0.004203,235.174384,-66.035876,92.338831,89.930546,57.958844,29.563418,0.384380,0.374355,0.241266,-0.013213,240.228222,-66.351689,96.746736,92.226758,61.400940,26.305840,0.386408,0.368355,0.245236,-0.023919,250.374435,-66.171614,102.062371,95.388602,65.871084,22.843748,0.387595,0.362251,0.250154,-0.033800,263.322057,-65.708805,107.112490,98.651828,70.045857,20.145308,0.388356,0.357680,0.253964,-0.041118,275.810175,-65.672603,114.015908,103.137153,75.740115,16.518284,0.389275,0.352132,0.258593,-0.050097,292.893176,-65.672830,0.163576,0.387238,0.358560,0.156101,0.384054,0.366335,0.147133,0.377563,0.382534,0.138738,0.367687,0.402684,0.132255,0.360108,0.422056,0.123583,0.349913,0.448596,94.890498,124.046314,147.046399,123.311303,96.280058,124.867262,146.887613,124.195430,99.225641,125.924966,146.495637,125.392903,103.074383,126.992661,146.002640,126.647758,106.892827,127.837453,145.680676,127.681683,112.125327,128.975477,145.258373,129.082973
cam_3_2010_0622_120005.jpg,10.173,86.434865,87.335619,53.778383,34.457992,0.379852,0.383810,0.236338,0.005184,227.548867,-66.213719,87.213646,86.620050,53.470650,32.555804,0.383687,0.381075,0.235238,-0.003415,227.304346,-66.892397,90.152934,87.695587,55.472063,29.766178,0.386391,0.375859,0.237750,-0.013817,233.320584,-66.904396,93.942715,89.740326,58.666264,26.871674,0.387634,0.370293,0.242073,-0.022878,242.349306,-66.350512,97.623473,91.976788,61.828149,24.501955,0.388275,0.365817,0.245908,-0.029782,251.428410,-65.943963,102.402799,94.838861,65.927548,21.347375,0.389114,0.360372,0.250514,-0.038349,263.169208,-65.386563,0.171356,0.397858,0.348273,0.164573,0.402547,0.348596,0.156297,0.399604,0.358531,0.148869,0.390817,0.372353,0.142938,0.382957,0.386140,0.134986,0.372808,0.404089,92.668336,123.232491,147.390994,122.394913,92.270889,123.953855,147.398753,123.092054,93.881430,124.887796,147.123816,124.098379,96.490735,125.776722,146.679908,125.110389,99.202576,126.499654,146.315601,125.964019,102.695886,127.463260,145.827343,127.098160
cam_3_2010_0623_120005.jpg,10.174,96.724932,95.675980,63.297373,31.329656,0.378278,0.374175,0.247547,-0.005452,255.698285,-65.806166,98.690459,96.125142,64.203498,29.356327,0.381016,0.371112,0.247872,-0.013168,259.019099,-66.408605,102.537307,97.853453,66.927281,26.242317,0.383578,0.366056,0.250366,-0.023374,267.318040,-66.536198,107.152409,100.328283,70.594839,22.909319,0.385336,0.360795,0.253869,-0.032890,278.075532,-66.291013,111.485427,102.947004,74.017362,20.391219,0.386499,0.356897,0.256604,-0.039819,288.449793,-66.397707,117.045789,106.304155,78.527253,17.035268,0.387726,0.352144,0.260130,-0.048093,301.877198,-66.295438,0.161734,0.360046,0.385244,0.155013,0.360692,0.390880,0.146329,0.358050,0.404954,0.138189,0.351912,0.422417,0.132102,0.347300,0.439034,0.124076,0.340306,0.460372,102.043375,124.197910,146.739362,123.810382,102.889052,124.922346,146.690392,124.573986,105.224061,125.961221,146.403694,125.725306,108.335302,127.009051,145.995382,126.926136,111.452266,127.815279,145.741046,127.888072,115.459167,128.864675,145.350632,129.140555
none,10.175, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
cam_3_2010_0625_120018.jpg,10.176,88.893207,88.177045,57.394779,30.066103,0.379132,0.376078,0.244790,-0.004045,234.465031,-62.280693,91.515767,89.342405,59.061301,28.107742,0.381444,0.372385,0.246171,-0.012017,239.919473,-62.735570,96.021119,91.887986,62.723436,25.031417,0.383115,0.366624,0.250261,-0.021995,250.632541,-62.462233,101.420595,95.211130,67.349832,21.651834,0.384196,0.360673,0.255131,-0.031579,263.981557,-61.932061,106.457745,98.549012,71.623720,19.016559,0.384837,0.356248,0.258915,-0.038578,276.630476,-61.759317,113.353894,103.160572,77.427027,15.540223,0.385634,0.350956,0.263410,-0.047079,293.941493,-61.660413,0.163406,0.367875,0.354397,0.156213,0.365254,0.362686,0.147362,0.358076,0.379361,0.138703,0.348169,0.399901,0.132074,0.340458,0.419271,0.123336,0.330350,0.445847,94.049846,124.232286,145.988533,123.455218,95.656549,124.949894,145.889336,124.247065,98.822403,125.934586,145.488041,125.382568,102.820636,126.969419,144.984009,126.611945,106.695421,127.783204,144.636979,127.617608,112.025090,128.862106,144.205520,128.964442
cam_3_2010_0626_120005.jpg,10.177,83.168493,84.735866,62.535646,23.767593,0.360912,0.367713,0.271375,0.009335,230.440005,-42.833067,83.757009,84.041658,62.228512,22.097794,0.364118,0.365355,0.270527,0.001696,230.027179,-43.341643,86.048580,84.844760,63.624348,20.016591,0.366917,0.361784,0.271299,-0.007044,234.517688,-43.644644,89.024355,86.427692,66.157190,17.673839,0.368464,0.357717,0.273819,-0.014800,241.609236,-43.137667,91.867958,88.171793,68.608293,15.867334,0.369470,0.354605,0.275925,-0.020530,248.648044,-42.823166,95.304005,90.172262,71.593334,13.447185,0.370732,0.350770,0.278498,-0.027668,257.069600,-42.289599,0.178214,0.273606,0.336423,0.169693,0.276702,0.336015,0.159410,0.277478,0.343279,0.150178,0.272437,0.353816,0.143097,0.268571,0.364266,0.133525,0.263545,0.376843,90.189878,124.281152,140.824358,123.315653,89.761666,124.890637,140.804884,123.899430,90.984840,125.614558,140.667017,124.677860,93.028751,126.334307,140.297194,125.493503,95.150441,126.891997,140.023952,126.153060,97.639216,127.629498,139.639776,127.010831
cam_3_2010_0627_120005.jpg,10.178,87.659494,86.916467,56.815855,29.357585,0.378836,0.375625,0.245540,-0.004256,231.391816,-60.944251,90.526084,88.139131,58.624840,27.127337,0.381500,0.371440,0.247060,-0.013360,237.290055,-61.415536,95.196595,90.756864,62.313017,24.004117,0.383445,0.365562,0.250992,-0.023875,248.266476,-61.327427,100.684919,94.197193,66.979589,20.729879,0.384497,0.359721,0.255782,-0.033291,261.861701,-60.922935,105.787735,97.565832,71.215862,18.128067,0.385286,0.355341,0.259373,-0.040432,274.569429,-60.921842,112.797091,102.256216,77.049606,14.665735,0.386155,0.350069,0.263776,-0.049015,292.102914,-60.954095,0.163936,0.367532,0.350441,0.155863,0.364339,0.359397,0.146529,0.357654,0.376602,0.137933,0.347677,0.397389,0.131233,0.340488,0.416951,0.122348,0.330606,0.443894,92.736725,124.310315,145.655103,123.468745,94.461378,125.120467,145.532187,124.358036,97.736314,126.145802,145.169304,125.539130,101.854761,127.160271,144.699041,126.754094,105.772973,127.980903,144.394395,127.768755,111.197901,129.069348,143.992255,129.129980
cam_3_2010_0628_120005.jpg,10.179,89.151015,87.337422,54.301195,31.222633,0.386287,0.378429,0.235284,-0.010276,230.789632,-67.886046,92.079426,88.631976,56.340119,28.844407,0.388436,0.373893,0.237670,-0.019077,237.051522,-68.031165,96.792526,91.335627,60.181165,25.697563,0.389806,0.367830,0.242364,-0.029006,248.309319,-67.765823,102.308800,94.772057,64.887434,22.347878,0.390539,0.361769,0.247692,-0.038242,261.968291,-67.305988,107.405375,98.156477,69.155202,19.752377,0.390967,0.357300,0.251732,-0.044993,274.717055,-67.251448,114.407789,102.831771,74.985770,16.269983,0.391505,0.351892,0.256603,-0.053287,292.225331,-67.268020,0.158838,0.401529,0.354065,0.151491,0.396853,0.363878,0.143251,0.388426,0.381593,0.135402,0.377589,0.402768,0.129402,0.369360,0.422477,0.121345,0.358439,0.449590,93.330043,124.503266,147.479461,123.689358,95.134589,125.323627,147.263378,124.593043,98.485796,126.329838,146.845332,125.759411,102.604401,127.356980,146.354295,126.987615,106.531879,128.166642,146.031993,127.992330,111.940418,129.255034,145.618588,129.353391
none,10.180, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
cam_3_2010_0630_120005.jpg,10.181,43.602898,45.272988,23.117014,23.826064,0.389336,0.404249,0.206415,0.018791,111.992900,-42.641858,53.992906,53.821056,29.874658,23.774548,0.392138,0.390890,0.216973,-0.001594,137.688620,-48.064645,71.320915,68.013930,41.900339,22.806606,0.393527,0.375280,0.231193,-0.023734,181.235185,-55.534166,85.256169,78.880936,52.180810,20.324894,0.394124,0.364653,0.241223,-0.038841,216.317914,-59.775486,95.315030,86.574304,59.488870,18.344708,0.394878,0.358667,0.246455,-0.048055,241.378204,-62.911595,108.130072,96.224278,68.947105,15.371379,0.395644,0.352081,0.252275,-0.058261,273.301456,-66.460139,0.179089,0.514428,0.179255,0.168299,0.490762,0.217592,0.155079,0.457690,0.283785,0.144156,0.431802,0.337429,0.136430,0.416481,0.376274,0.126260,0.396945,0.425827,45.536396,124.180383,141.729879,121.041122,55.634559,124.854610,142.908061,122.192737,71.985993,125.976518,144.249393,124.098529,84.453873,127.204251,144.763009,125.929908,93.234543,128.143997,145.140201,127.301490,104.251167,129.428449,145.481150,129.136660
